ID;Name;Designator;Quantity
1;1N4148TR;D1,D5,D6;3
2;1N4007S;D4;1
3;220kOhms;R1;1
4;1MOhms;R2;1
5;200Ohms;R3,R4,R5,R6,R7,R8,R9;7
6;200Ohms;R10,R11,R12,R13,R14,R15;6
7;10kOhms;R16;1
8;1MOhms;U2;1
9;CD4060AN;U1;1
10;HC-PM254-5.0H-1X9PZ;U4;1
11;KH-MINI-DIP90-5P-CU;USB1;1
12;2N2222;Q4;1
13;2N3906;Q1,Q2,Q3;3
14;204-10UYT/S530-A3;LED9,LED10,LED11,LED12;4
15;204-10SURD/S530-A3;LED5,LED6,LED7,LED8;4
16;204-10SURD/S530-A3;LED1,LED2,LED3,LED4;4
17;TJ-L5FPTGCRMFCSFLC2R-A5;LED;1
18;PH2.54-1X2P-H25;H1;1
19;1uF;C1;1
20;;;
21;530470210;CN1;1
22;;;
23;;;
24;;;
